ROI,Subject,Effect,Session/Partition,LocalizerSize,EffectSize
2,209_KAN_evDB_20140224_PL2017,AV_hm, 1,74,0.453511
2,209_KAN_evDB_20140224_PL2017,AV_lm, 1,74,1.706134
2,209_KAN_evDB_20140224_PL2017,AV_lo, 1,74,3.105938
2,209_KAN_evDB_20140224_PL2017,FW_hi, 1,74,-0.285178
2,209_KAN_evDB_20140224_PL2017,FW_lo, 1,74,0.788020
2,210_KAN_evDB_20140303a_PL2017,N_hi, 1,74,3.691659
2,210_KAN_evDB_20140303a_PL2017,N_hm, 1,74,0.978688
2,210_KAN_evDB_20140303a_PL2017,N_lm, 1,74,2.374917
2,210_KAN_evDB_20140303a_PL2017,N_lo, 1,74,2.453179
2,210_KAN_evDB_20140303a_PL2017,AJ_hi, 1,74,-0.152918
2,210_KAN_evDB_20140303a_PL2017,AJ_hm, 1,74,-0.192417
2,210_KAN_evDB_20140303a_PL2017,AJ_lm, 1,74,0.439744
2,210_KAN_evDB_20140303a_PL2017,AJ_lo, 1,74,0.402858
2,210_KAN_evDB_20140303a_PL2017,V_hi, 1,74,1.658204
2,210_KAN_evDB_20140303a_PL2017,V_hm, 1,74,2.088868
2,210_KAN_evDB_20140303a_PL2017,V_lm, 1,74,2.633056
2,210_KAN_evDB_20140303a_PL2017,V_lo, 1,74,3.066430
2,210_KAN_evDB_20140303a_PL2017,AV_hi, 1,74,-0.151261
2,210_KAN_evDB_20140303a_PL2017,AV_hm, 1,74,1.367974
2,210_KAN_evDB_20140303a_PL2017,AV_lm, 1,74,2.857937
2,210_KAN_evDB_20140303a_PL2017,AV_lo, 1,74,1.008791
2,210_KAN_evDB_20140303a_PL2017,FW_hi, 1,74,3.066897
2,210_KAN_evDB_20140303a_PL2017,FW_lo, 1,74,0.983035
2,211_KAN_evDB_20140303b_PL2017,N_hi, 1,74,2.180303
2,211_KAN_evDB_20140303b_PL2017,N_hm, 1,74,0.590156
2,211_KAN_evDB_20140303b_PL2017,N_lm, 1,74,2.804431
2,211_KAN_evDB_20140303b_PL2017,N_lo, 1,74,-0.127847
2,211_KAN_evDB_20140303b_PL2017,AJ_hi, 1,74,2.084999
2,211_KAN_evDB_20140303b_PL2017,AJ_hm, 1,74,0.748356
2,211_KAN_evDB_20140303b_PL2017,AJ_lm, 1,74,3.695566
2,211_KAN_evDB_20140303b_PL2017,AJ_lo, 1,74,3.887392
2,211_KAN_evDB_20140303b_PL2017,V_hi, 1,74,2.060627
2,211_KAN_evDB_20140303b_PL2017,V_hm, 1,74,2.461652
2,211_KAN_evDB_20140303b_PL2017,V_lm, 1,74,2.297885
2,211_KAN_evDB_20140303b_PL2017,V_lo, 1,74,3.727622
2,211_KAN_evDB_20140303b_PL2017,AV_hi, 1,74,4.270240
2,211_KAN_evDB_20140303b_PL2017,AV_hm, 1,74,5.859030
2,211_KAN_evDB_20140303b_PL2017,AV_lm, 1,74,2.751782
2,211_KAN_evDB_20140303b_PL2017,AV_lo, 1,74,3.355868
2,211_KAN_evDB_20140303b_PL2017,FW_hi, 1,74,3.114722
2,211_KAN_evDB_20140303b_PL2017,FW_lo, 1,74,3.937758
2,221_KAN_evDB_20140808_PL2017,N_hi, 1,74,2.408546
2,221_KAN_evDB_20140808_PL2017,N_hm, 1,74,0.224286
